,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
0,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11.5,11.75,4,0,0,3,120,2
1,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19.75,19.833333333333332,3,1,1,0,165,4
2,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,8.5,8.75,2,2,0,3,130,14
3,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18.0,18.166666666666668,4,3,0,0,105,3
4,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13.5,13.75,0,0,1,0,150,15
5,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21.333333333333332,21.5,0,1,0,3,130,15
6,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19.25,19.5,1,1,1,0,200,15
7,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17.416666666666668,17.5,0,3,0,0,160,13
8,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20.916666666666668,21.083333333333332,3,1,0,0,170,4
9,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21.916666666666668,22.166666666666668,1,1,0,0,230,15
10,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14.916666666666666,15.083333333333334,3,0,0,0,115,3
11,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17.5,17.666666666666668,2,3,1,0,105,11
12,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,9.333333333333334,9.5,2,2,0,0,100,0
13,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19.833333333333332,20.083333333333332,1,1,1,0,205,7
14,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20.416666666666668,20.583333333333332,2,1,2,0,100,9
