,Agent_Age,Agent_Rating,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category
0,37,4.9,2022-03-19,11.5,11.75,4,0,0,3,120,2
1,34,4.5,2022-03-25,19.75,19.833333333333332,3,1,1,0,165,4
2,23,4.4,2022-03-19,8.5,8.75,2,2,0,3,130,14
3,38,4.7,2022-04-05,18.0,18.166666666666668,4,3,0,0,105,3
4,32,4.6,2022-03-26,13.5,13.75,0,0,1,0,150,15
5,22,4.8,2022-03-11,21.333333333333332,21.5,0,1,0,3,130,15
6,33,4.7,2022-03-04,19.25,19.5,1,1,1,0,200,15
7,35,4.6,2022-03-14,17.416666666666668,17.5,0,3,0,0,160,13
8,22,4.8,2022-03-20,20.916666666666668,21.083333333333332,3,1,0,0,170,4
9,36,4.2,2022-02-12,21.916666666666668,22.166666666666668,1,1,0,0,230,15
10,21,4.7,2022-02-13,14.916666666666666,15.083333333333334,3,0,0,0,115,3
11,23,4.7,2022-03-04,17.5,17.666666666666668,2,3,1,0,105,11
12,34,4.3,2022-02-13,9.333333333333334,9.5,2,2,0,0,100,0
13,24,4.7,2022-02-14,19.833333333333332,20.083333333333332,1,1,1,0,205,7
14,29,4.5,2022-04-02,20.416666666666668,20.583333333333332,2,1,2,0,100,9
15,35,4.0,2022-03-01,14.916666666666666,15.166666666666666,5,0,1,0,33,5
16,33,4.2,2022-03-16,20.5,20.666666666666668,2,1,0,0,200,3
17,34,4.9,2022-03-20,20.666666666666668,20.833333333333332,0,1,0,0,205,13
18,21,4.7,2022-02-15,21.25,21.5,5,1,0,3,75,7
19,25,4.1,2022-03-16,20.333333333333332,20.416666666666668,2,1,0,0,180,15
20,31,4.7,2022-03-10,22.5,22.75,2,2,2,0,130,1
21,37,5.0,2022-03-11,8.25,8.5,2,2,0,0,100,2
22,33,4.3,2022-03-27,19.5,19.75,5,1,1,0,195,13
23,25,4.0,2022-03-26,12.416666666666666,12.5,0,0,0,0,170,7
24,29,4.5,2022-03-27,18.583333333333332,18.833333333333332,4,3,2,0,75,9
25,27,5.0,2022-04-05,20.583333333333332,20.666666666666668,3,1,0,3,90,3
26,35,4.3,2022-03-12,23.333333333333332,23.5,0,2,1,0,190,4
27,32,4.0,2022-03-16,21.333333333333332,21.583333333333332,5,1,0,0,235,3
28,23,4.8,2022-04-02,23.583333333333332,23.75,5,2,2,3,60,7
29,31,4.8,2022-04-01,22.583333333333332,22.833333333333332,2,2,0,0,130,7
30,36,4.1,2022-03-05,22.583333333333332,22.666666666666668,3,2,0,3,110,3
31,26,4.3,2022-02-11,23.416666666666668,23.583333333333332,2,2,0,3,105,7
32,38,4.9,2022-02-11,13.583333333333334,13.666666666666666,0,0,1,3,125,11
34,32,4.6,2022-04-02,22.583333333333332,22.75,4,3,0,0,150,7
35,33,4.9,2022-03-08,18.916666666666668,19.166666666666668,5,0,1,3,110,15
36,20,4.7,2022-04-03,14.25,14.416666666666666,2,2,1,0,50,8
37,20,4.8,2022-03-30,11.0,11.166666666666666,4,2,1,3,95,2
38,35,5.0,2022-04-01,9.75,9.916666666666666,3,2,1,0,55,8
39,26,4.9,2022-03-28,8.666666666666666,8.916666666666666,1,2,0,0,55,1
40,22,4.8,2022-03-18,23.0,23.166666666666668,0,3,0,0,140,5
41,35,4.3,2022-03-14,17.416666666666668,17.5,2,1,0,0,33,2
42,37,4.7,2022-04-04,19.75,19.833333333333332,3,1,1,0,260,3
43,28,4.6,2022-03-08,19.166666666666668,19.416666666666668,1,2,1,3,110,5
44,37,4.9,2022-02-13,10.916666666666666,11.0,4,1,2,0,16,0
45,23,4.9,2022-03-24,21.666666666666668,21.75,5,3,1,0,55,13
46,27,4.9,2022-03-19,19.0,19.25,0,3,0,3,125,7
47,37,4.8,2022-03-09,16.75,16.916666666666668,4,0,1,0,130,11
48,33,5.0,2022-03-19,11.5,11.666666666666666,1,3,0,0,90,1
49,31,4.9,2022-04-03,15.166666666666666,15.25,3,2,1,0,80,3
50,31,4.8,2022-03-25,22.75,22.916666666666668,2,1,0,0,115,8
52,28,4.8,2022-04-04,20.75,20.916666666666668,4,3,0,3,180,13
53,31,4.7,2022-03-26,22.833333333333332,23.083333333333332,4,2,0,0,80,7
54,24,4.7,2022-03-10,17.916666666666668,18.0,5,2,1,1,95,11
55,39,4.6,2022-02-14,22.75,23.0,2,2,1,3,135,3
57,32,4.5,2022-03-26,9.416666666666666,9.666666666666666,0,2,1,0,100,11
59,25,4.8,2022-03-29,22.416666666666668,22.583333333333332,1,3,1,0,90,10
60,33,4.9,2022-03-30,21.916666666666668,22.0,2,2,2,0,110,11
61,30,4.4,2022-03-12,22.666666666666668,22.916666666666668,3,1,0,0,170,12
62,33,5.0,2022-03-31,23.833333333333332,23.916666666666668,0,1,1,0,120,6
63,36,4.9,2022-03-17,15.416666666666666,15.666666666666666,4,0,1,3,85,14
64,21,4.8,2022-02-15,10.333333333333334,10.5,1,3,1,0,70,9
65,39,4.9,2022-02-15,20.916666666666668,21.0,1,2,0,0,150,11
68,39,4.6,2022-03-16,20.166666666666668,20.25,5,0,2,0,180,13
69,22,4.7,2022-03-17,12.166666666666666,12.25,0,1,1,0,90,0
70,32,4.6,2022-03-15,15.5,15.75,0,3,1,0,85,7
73,26,4.7,2022-03-05,23.833333333333332,0.08333333333333333,3,1,0,0,50,6
75,35,4.1,2022-03-12,20.416666666666668,20.666666666666668,5,0,1,3,185,13
76,39,4.6,2022-03-29,20.833333333333332,21.0,1,2,0,3,220,8
77,34,4.7,2022-03-19,12.583333333333334,12.75,1,2,0,0,140,4
78,27,4.7,2022-03-10,21.0,21.25,3,1,0,0,210,3
80,25,4.4,2022-03-27,18.25,18.333333333333332,2,2,1,0,195,2
81,25,4.7,2022-03-27,18.333333333333332,18.416666666666668,0,2,1,3,100,1
82,30,5.0,2022-03-24,11.75,11.833333333333334,4,3,2,0,155,6
83,24,4.6,2022-03-09,20.75,20.916666666666668,3,1,0,0,65,4
84,39,4.8,2022-03-03,21.916666666666668,22.166666666666668,4,2,0,0,140,9
85,25,4.8,2022-02-15,12.75,12.833333333333334,2,2,2,0,95,2
86,37,4.6,2022-02-18,23.5,23.75,1,2,0,0,210,13
87,24,5.0,2022-03-01,10.833333333333334,10.916666666666666,0,0,1,0,115,12
88,25,4.2,2022-03-23,21.416666666666668,21.666666666666668,5,2,0,0,195,14
89,32,4.6,2022-04-01,10.166666666666666,10.333333333333334,0,2,1,3,125,5
90,34,4.7,2022-02-16,23.0,23.083333333333332,5,2,0,0,75,4
91,38,4.9,2022-03-11,8.666666666666666,8.916666666666666,3,2,0,3,75,1
92,36,4.8,2022-03-14,17.833333333333332,17.916666666666668,2,2,0,3,75,0
93,25,5.0,2022-03-18,20.416666666666668,20.666666666666668,2,1,0,0,75,0
94,29,5.0,2022-04-01,22.333333333333332,22.416666666666668,0,2,1,3,90,7
95,36,4.7,2022-04-04,23.666666666666668,23.833333333333332,1,1,1,0,145,1
96,33,4.7,2022-03-11,23.416666666666668,23.5,2,2,1,3,100,14
97,36,4.4,2022-03-13,12.666666666666666,12.916666666666666,0,1,0,0,195,12
98,21,4.8,2022-03-04,23.5,23.75,4,2,0,0,95,9
99,25,4.8,2022-03-26,23.916666666666668,0.16666666666666666,0,2,1,0,19,1
100,23,4.8,2022-03-16,22.833333333333332,23.0,4,2,0,0,85,11
101,25,4.6,2022-03-01,10.416666666666666,10.666666666666666,5,1,0,0,75,1
102,24,4.3,2022-03-15,8.75,9.0,2,2,1,0,95,14
103,27,4.6,2022-03-04,21.416666666666668,21.666666666666668,4,2,2,0,145,8
104,23,4.8,2022-03-18,22.583333333333332,22.666666666666668,0,2,0,1,110,14
105,21,4.3,2022-03-23,20.166666666666668,20.333333333333332,0,3,0,3,210,3
106,27,4.7,2022-03-15,10.916666666666666,11.166666666666666,2,2,0,0,60,15
107,32,4.2,2022-03-08,20.583333333333332,20.75,0,1,0,0,190,7
108,25,4.6,2022-03-10,23.333333333333332,23.583333333333332,1,3,1,0,115,2
109,39,4.7,2022-02-11,10.583333333333334,10.833333333333334,4,0,1,0,75,11
