,Agent_Age,Agent_Rating,Order_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,wait_time,order_hour,pickup_hour,day_of_week,is_weekend
0,37,4.9,11.5,4,0,0,3,120,2,-27460800.0,0,0,5,1
1,34,4.5,19.75,3,1,1,0,165,4,-27469440.0,0,0,4,0
2,23,4.4,8.5,2,2,0,3,130,14,-27460800.0,0,0,5,1
3,38,4.7,18.0,4,3,0,0,105,3,-27485280.0,0,0,1,0
4,32,4.6,13.5,0,0,1,0,150,15,-27470880.0,0,0,5,1
5,22,4.8,21.333333333333332,0,1,0,3,130,15,-27449280.0,0,0,4,0
6,33,4.7,19.25,1,1,1,0,200,15,-27439200.0,0,0,4,0
7,35,4.6,17.416666666666668,0,3,0,0,160,13,-27453600.0,0,0,0,0
8,22,4.8,20.916666666666668,3,1,0,0,170,4,-27462240.0,0,0,6,1
9,36,4.2,21.916666666666668,1,1,0,0,230,15,-27410400.0,0,0,5,1
10,21,4.7,14.916666666666666,3,0,0,0,115,3,-27411840.0,0,0,6,1
11,23,4.7,17.5,2,3,1,0,105,11,-27439200.0,0,0,4,0
12,34,4.3,9.333333333333334,2,2,0,0,100,0,-27411840.0,0,0,6,1
13,24,4.7,19.833333333333332,1,1,1,0,205,7,-27413280.0,0,0,0,0
14,29,4.5,20.416666666666668,2,1,2,0,100,9,-27480960.0,0,0,5,1
15,35,4.0,14.916666666666666,5,0,1,0,33,5,-27434880.0,0,0,1,0
16,33,4.2,20.5,2,1,0,0,200,3,-27456480.0,0,0,2,0
17,34,4.9,20.666666666666668,0,1,0,0,205,13,-27462240.0,0,0,6,1
18,21,4.7,21.25,5,1,0,3,75,7,-27414720.0,0,0,1,0
19,25,4.1,20.333333333333332,2,1,0,0,180,15,-27456480.0,0,0,2,0
20,31,4.7,22.5,2,2,2,0,130,1,-27447840.0,0,0,3,0
21,37,5.0,8.25,2,2,0,0,100,2,-27449280.0,0,0,4,0
22,33,4.3,19.5,5,1,1,0,195,13,-27472320.0,0,0,6,1
23,25,4.0,12.416666666666666,0,0,0,0,170,7,-27470880.0,0,0,5,1
24,29,4.5,18.583333333333332,4,3,2,0,75,9,-27472320.0,0,0,6,1
25,27,5.0,20.583333333333332,3,1,0,3,90,3,-27485280.0,0,0,1,0
26,35,4.3,23.333333333333332,0,2,1,0,190,4,-27450720.0,0,0,5,1
27,32,4.0,21.333333333333332,5,1,0,0,235,3,-27456480.0,0,0,2,0
28,23,4.8,23.583333333333332,5,2,2,3,60,7,-27480960.0,0,0,5,1
29,31,4.8,22.583333333333332,2,2,0,0,130,7,-27479520.0,0,0,4,0
30,36,4.1,22.583333333333332,3,2,0,3,110,3,-27440640.0,0,0,5,1
31,26,4.3,23.416666666666668,2,2,0,3,105,7,-27408960.0,0,0,4,0
32,38,4.9,13.583333333333334,0,0,1,3,125,11,-27408960.0,0,0,4,0
34,32,4.6,22.583333333333332,4,3,0,0,150,7,-27480960.0,0,0,5,1
35,33,4.9,18.916666666666668,5,0,1,3,110,15,-27444960.0,0,0,1,0
36,20,4.7,14.25,2,2,1,0,50,8,-27482400.0,0,0,6,1
37,20,4.8,11.0,4,2,1,3,95,2,-27476640.0,0,0,2,0
38,35,5.0,9.75,3,2,1,0,55,8,-27479520.0,0,0,4,0
39,26,4.9,8.666666666666666,1,2,0,0,55,1,-27473760.0,0,0,0,0
40,22,4.8,23.0,0,3,0,0,140,5,-27459360.0,0,0,4,0
41,35,4.3,17.416666666666668,2,1,0,0,33,2,-27453600.0,0,0,0,0
