iter	RMSE
0	0.4494803079
1	0.4354750538
2	0.4222353389
3	0.4089412078
4	0.3971806931
5	0.3859580498
6	0.3751109015
7	0.3650351094
8	0.3557943257
9	0.3463642986
10	0.3380990575
11	0.3305589332
12	0.3231567586
13	0.316512609
14	0.3097107992
15	0.3038387077
16	0.2981590117
17	0.2926868362
18	0.2875755488
19	0.2825059425
20	0.2779168112
21	0.2737200519
22	0.2696187606
23	0.2654753753
24	0.2619617651
25	0.2588589622
26	0.2553849511
27	0.2525175325
28	0.2493740181
29	0.2465723662
30	0.243912419
31	0.2414506482
32	0.2390407227
33	0.2367148258
34	0.2347767453
35	0.2329456216
36	0.2311939921
37	0.2293583371
38	0.2277339584
39	0.2265190629
40	0.2250111997
41	0.223744661
42	0.2226945288
43	0.2214524939
44	0.220299741
45	0.2192703518
46	0.2183450331
47	0.217425673
48	0.2167514759
49	0.2157722242
50	0.2149682101
51	0.2143039048
52	0.2135183146
53	0.2130817195
54	0.2122438132
55	0.2112137703
56	0.2103775548
57	0.2100878015
58	0.2095314596
59	0.2091008515
60	0.2088728337
61	0.208032852
62	0.2077231436
63	0.2072682581
64	0.2066496275
65	0.2062458455
66	0.2060754675
67	0.2056054103
68	0.205177447
69	0.2048888511
70	0.2042982912
71	0.2037186824
72	0.203411651
73	0.2027739996
74	0.2026666304
75	0.2020888463
76	0.2016840391
77	0.2013186508
78	0.2011126156
79	0.200964918
80	0.2005203934
81	0.2004614151
82	0.2002289364
83	0.1999287555
84	0.1997699263
85	0.1993276191
86	0.1992105084
87	0.1987739829
88	0.1986898039
89	0.1985697905
90	0.1983530325
91	0.1982042722
92	0.197670187
93	0.1973685439
94	0.1970044236
95	0.1968458065
96	0.1967053036
97	0.1965726654
98	0.1962957012
99	0.1960994473
100	0.1960834192
101	0.195917949
102	0.1957722982
103	0.1957596245
104	0.1956228013
105	0.1953675123
106	0.1952406017
107	0.1950287247
108	0.1949862334
109	0.1944710141
110	0.1943076032
111	0.1942981392
112	0.1942565937
113	0.1940446247
114	0.1939083469
115	0.1935661292
116	0.1935459118
117	0.1933201592
118	0.1931191672
119	0.192911184
120	0.1927094728
121	0.1924756766
122	0.1924047102
123	0.1924040617
124	0.1923856008
125	0.1921518918
126	0.191994201
127	0.19187838
128	0.1917390066
129	0.1916383387
130	0.191550081
131	0.1915452705
132	0.191423619
133	0.1914000518
134	0.1913366011
135	0.1912554177
136	0.1912201709
137	0.1909101226
138	0.1908528721
139	0.1908490843
140	0.1908401557
141	0.1908342944
142	0.1908223906
143	0.1907755583
144	0.1907459047
145	0.190745868
146	0.1906169436
147	0.1904661438
148	0.1903050399
149	0.1900937364
150	0.190093704
151	0.1899586118
152	0.1899578231
153	0.1899023667
154	0.1898869141
