iter	Passed	Remaining
0	69	69281
1	138	68906
2	208	69216
3	282	70219
4	380	75693
5	449	74511
6	527	74861
7	597	74124
8	661	72886
9	724	71731
10	785	70607
11	852	70187
12	918	69731
13	980	69066
14	1047	68795
15	1111	68339
16	1172	67818
17	1247	68031
18	1310	67687
19	1384	67842
20	1448	67517
21	1530	68045
22	1595	67784
23	1661	67570
24	1724	67251
25	1786	66922
26	1848	66623
27	1935	67183
28	2015	67479
29	2077	67179
30	2157	67449
31	2227	67374
32	2290	67115
33	2355	66914
34	2421	66753
35	2484	66521
36	2549	66366
37	2618	66280
38	2680	66052
39	2715	65167
40	2780	65039
41	2847	64940
42	2918	64957
43	2986	64892
44	3068	65120
45	3136	65056
46	3210	65096
47	3280	65055
48	3346	64953
49	3411	64823
50	3479	64748
51	3549	64714
52	3617	64633
53	3696	64749
54	3761	64622
55	3831	64593
56	3877	64145
57	3940	64004
58	4007	63914
59	4076	63868
60	4145	63817
61	4214	63760
62	4283	63704
63	4353	63664
64	4421	63600
65	4500	63695
66	4580	63788
67	4656	63826
68	4719	63680
69	4786	63589
70	4850	63460
71	4920	63423
72	4984	63296
73	5061	63331
74	5141	63410
75	5227	63559
76	5333	63933
77	5407	63916
78	5492	64038
79	5588	64269
80	5759	65345
81	5848	65470
82	5931	65533
83	6002	65452
84	6075	65399
85	6142	65281
86	6212	65191
87	6293	65220
88	6360	65109
89	6436	65079
90	6459	64528
91	6530	64458
92	6599	64366
93	6670	64292
94	6740	64214
95	6819	64214
96	6893	64170
97	6984	64284
98	7054	64203
99	7125	64125
100	7194	64035
101	7270	64012
102	7347	63986
103	7372	63516
104	7442	63436
105	7507	63316
106	7579	63258
107	7647	63166
108	7708	63010
109	7778	62932
110	7844	62827
111	7921	62804
112	7945	62371
113	8011	62264
114	8082	62197
115	8150	62110
116	8231	62123
117	8301	62051
118	8377	62025
119	8465	62080
120	8560	62186
121	8661	62331
122	8724	62203
123	8747	61796
124	8811	61682
125	8831	61259
126	8884	61073
127	8949	60967
128	9012	60851
129	9064	60661
130	9127	60548
131	9193	60451
132	9271	60437
133	9331	60306
134	9406	60268
135	9472	60178
136	9534	60058
137	9602	59979
138	9671	59909
139	9736	59810
140	9813	59785
141	9876	59674
142	9942	59583
143	10008	59493
144	10072	59392
145	10109	59132
146	10177	59058
147	10205	58751
148	10279	58708
149	10346	58628
150	10373	58323
151	10442	58256
152	10507	58169
153	10593	58196
154	10780	58770
155	10858	58748
156	10943	58758
157	10982	58528
158	11063	58520
159	11147	58523
160	11190	58314
161	11260	58251
162	11328	58171
163	11405	58139
164	11473	58061
165	11541	57984
166	11567	57700
167	11637	57632
168	11717	57616
169	11727	57258
170	11758	57003
171	11829	56946
172	11895	56865
173	11977	56858
174	12047	56794
175	12114	56718
176	12188	56672
177	12256	56602
178	12322	56517
179	12395	56468
180	12470	56427
181	12532	56329
182	12612	56307
183	12683	56249
184	12756	56197
185	12821	56113
186	12846	55849
187	12911	55765
188	12978	55689
189	13046	55619
190	13110	55532
191	13184	55486
192	13250	55403
193	13317	55328
194	13377	55226
195	13448	55168
196	13482	54954
197	13547	54873
198	13628	54854
199	13697	54789
200	13776	54761
201	13841	54680
202	13902	54582
203	13966	54495
204	14034	54426
205	14103	54359
206	14174	54301
207	14235	54205
208	14298	54115
209	14363	54033
210	14428	53953
211	14506	53920
212	14570	53837
213	14638	53765
214	14707	53697
215	14779	53642
216	14853	53595
217	14937	53583
218	15001	53497
219	15072	53439
220	15137	53356
221	15208	53298
222	15227	53055
223	15297	52996
224	15365	52924
225	15434	52858
226	15498	52777
227	15576	52742
228	15644	52673
229	15714	52610
230	15786	52552
231	15859	52500
232	15927	52429
233	15997	52367
234	16066	52300
235	16135	52236
236	16208	52182
237	16278	52117
238	16362	52101
239	16436	52048
240	16528	52054
241	16601	52000
242	16669	51928
243	16747	51890
244	16824	51848
245	16888	51763
246	16965	51719
247	17038	51666
248	17101	51580
249	17169	51509
250	17253	51485
251	17316	51399
252	17384	51327
253	17452	51257
254	17536	51233
255	17611	51184
256	17681	51119
257	17740	51021
258	17808	50949
259	17872	50867
260	17940	50796
261	18010	50732
262	18079	50663
263	18147	50592
264	18218	50530
265	18284	50454
266	18348	50371
267	18414	50296
268	18480	50220
269	18553	50163
270	18625	50102
271	18691	50027
272	18763	49966
273	18830	49894
274	18897	49820
275	18962	49741
276	19031	49673
277	19102	49610
278	19186	49583
279	19254	49510
280	19325	49447
281	19392	49374
282	19462	49309
283	19540	49264
284	19605	49186
285	19677	49123
286	19748	49061
287	19821	49002
288	19894	48944
289	19972	48898
290	20037	48821
291	20102	48741
292	20171	48673
293	20237	48597
294	20306	48528
295	20375	48459
296	20441	48384
297	20515	48329
298	20584	48260
299	20666	48220
300	20732	48145
301	20798	48071
302	20861	47989
303	20929	47917
304	20991	47833
305	21054	47752
306	21118	47671
307	21184	47596
308	21248	47516
309	21322	47458
310	21386	47380
311	21449	47298
312	21515	47223
313	21582	47150
314	21658	47097
315	21733	47042
316	21796	46961
317	21863	46890
318	21924	46804
319	21989	46727
320	22056	46655
321	22138	46613
322	22206	46544
323	22272	46469
324	22336	46392
325	22402	46316
326	22465	46237
327	22528	46156
328	22592	46077
329	22660	46008
330	22738	45957
331	22801	45876
332	22875	45820
333	22944	45751
334	23013	45683
335	23079	45609
336	23152	45548
337	23215	45468
338	23286	45404
339	23355	45336
340	23423	45267
341	23493	45200
342	23559	45126
343	23630	45063
344	23708	45011
345	23776	44941
346	23845	44873
347	23922	44820
348	23989	44748
349	24058	44680
350	24125	44608
351	24194	44540
352	24266	44476
353	24329	44398
354	24395	44323
355	24471	44269
356	24540	44199
357	24609	44132
358	24681	44068
359	24737	43977
360	24809	43914
361	24876	43842
362	24942	43768
363	25018	43712
364	25079	43632
365	25151	43568
366	25218	43497
367	25286	43427
368	25346	43343
369	25416	43276
370	25481	43201
371	25547	43128
372	25613	43054
373	25682	42988
374	25752	42920
375	25827	42863
376	25894	42791
377	25966	42728
378	26033	42656
379	26099	42583
380	26170	42519
381	26235	42444
382	26296	42363
383	26369	42300
384	26431	42222
385	26497	42148
386	26566	42080
387	26634	42010
388	26698	41934
389	26768	41868
390	26835	41797
391	26905	41730
392	26975	41664
393	27043	41595
394	27111	41524
395	27186	41465
396	27255	41398
397	27328	41336
398	27393	41261
399	27459	41189
400	27523	41113
401	27589	41041
402	27660	40975
403	27731	40910
404	27812	40859
405	27883	40795
406	27968	40750
407	28043	40690
408	28114	40624
409	28183	40556
410	28251	40486
411	28330	40432
412	28407	40375
413	28474	40304
414	28546	40239
415	28623	40183
416	28705	40133
417	28782	40074
418	28852	40007
419	28915	39931
420	28989	39869
421	29052	39792
422	29117	39717
423	29189	39654
424	29249	39572
425	29315	39499
426	29382	39428
427	29451	39360
428	29514	39284
429	29582	39214
430	29655	39150
431	29721	39077
432	29783	39001
433	29869	38953
434	29934	38880
435	30007	38817
436	30068	38738
437	30134	38665
438	30205	38600
439	30279	38537
440	30342	38461
441	30404	38384
442	30472	38314
443	30532	38234
444	30596	38160
445	30664	38090
446	30731	38019
447	30799	37949
448	30877	37892
449	30961	37841
450	31028	37770
451	31093	37697
452	31156	37621
453	31222	37550
454	31286	37475
455	31350	37401
456	31421	37334
457	31497	37274
458	31563	37202
459	31636	37138
460	31706	37071
461	31770	36996
462	31842	36931
463	31918	36871
464	31988	36803
465	32060	36738
466	32130	36671
467	32200	36604
468	32269	36535
469	32348	36478
470	32416	36408
471	32494	36349
472	32562	36280
473	32633	36213
474	32706	36149
475	32773	36078
476	32843	36010
477	32913	35943
478	32983	35875
479	33051	35805
480	33115	35731
481	33186	35664
482	33257	35598
483	33321	35524
484	33389	35455
485	33456	35384
486	33518	35307
487	33583	35235
488	33653	35167
489	33722	35099
490	33789	35028
491	33853	34954
492	33920	34884
493	33995	34821
494	34071	34759
495	34136	34686
496	34204	34617
497	34271	34546
498	34337	34475
499	34406	34406
500	34470	34332
501	34555	34280
502	34623	34210
503	34690	34139
504	34758	34070
505	34829	34003
506	34896	33933
507	34987	33885
508	35057	33817
509	35131	33753
510	35204	33688
511	35272	33618
512	35337	33546
513	35408	33479
514	35491	33423
